,title,teacher,price
0, آموزش CCNA ,جهانبخش یگانه, رایگانـ 
1, آموزش ساخت باج افزار با پایتون ,ناظوری," 150,000 "
2, افزایش مهارت در پایتون با ۳۰ پروژه عملی ,رضا," 120,000 "
3, آموزش جامع مبانی بهینه‌سازی در هوش مصنوعی - بهینه‌سازی معماری مدلهای هوش مصنوعی ,تقی پور," 285,000 "
4, دوره جامع آموزش SQL Server برای توسعه دهندگان ASP.NET Core + پروژه عملی ,زارعی," 595,200 "
5, پروتکل MQTT مقدماتی ,مهدی نیا," 270,000 "
6, آموزش جامع و پروژه محور کتابخانه Tkinter پایتون ,رضا," 150,000 "
7, دوره جامع آموزش فیگما : از صفر مطلق تا ورود به بازار کار طراحی ,گودرزی," 150,000 "
8, آموزش پیشرفته صفر تا صد ربات های تلگرامی با node js ,صائبی," 180,000 "
9, ساخت و مدیریت ربات تلگرام با پایتون ,ناظوری," 180,000 "
10, آموزش Blazor از مقدماتی تا پیشرفته به همراه چند پروژه عملی و کاربردی ,مدائنی," 540,000 "
11, بوت کمپ برنامه نویس شو ,مدائنی," 3,250,000 "
12, آموزش ساخت مدل های سه بعدی در نرم افزار بلندر و سابستنس پینتر(پروژه محور) ,ذاکریان," 360,000 "
13, آموزش جامع فریمورک Reflex ,رضا," 600,000 "
14, آموزش جامع میکروسرویس در net. ,رضایی," 600,000 "
15, مستر کلاس جنگو ,رضا," 900,000 "
16, بوت کمپ Asp.Net Core پیشرفته ,مدائنی," 3,600,000 "
17, آموزش پروژه محور آردوینو - به همراه ۵۰ پروژه کاربردی ,مدائنی," 444,000 "
18, آموزش نتورک پلاس ,قنبرپور," 180,000 "
19, طراحی وب‌سایت حرفه‌ای در کمتر از ۲ ساعت با کمک هوش مصنوعی! ,اسدی اردلی," 285,000 "
20, آموزش معماری تمیز همراه CQRS با پیاده سازی اصول SOLID در ASP.NET Core ,مدائنی," 300,000 "
21, آموزش مانیتورینگ و مدیریت لاگ ها در ASP.NET Core ,مدائنی," 210,000 "
22, استقرار پروژه Next.js روی سرور مجازی لینوکس ,هنرمند زاده, رایگانـ 
23, آموزش ساخت Web APIs با ASP.NET Core ,مدائنی," 420,000 "
24, آموزش تایپ اسکریپت (TypeScript) ,مدائنی," 165,000 "
25, آموزش جامع مبانی بهینه‌سازی در هوش مصنوعی - روش های متاهیورستیک و الگوریتم‌های تکاملی ,تقی پور," 270,000 "
26, آموزش Asp.Net Core Razor Pages ,مدائنی," 270,000 "
27, آموزش Asp.Net Core پیشرفته ,مدائنی," 330,000 "
28, دوره آموزش N8N - ساخت اتوماسیون از صفر ,مدائنی," 660,000 "
29, آموزش unit testing در c# از مقدماتی تا پیشرفته ,حقیقی," 90,000 "
30, آموزش برنامه نویسی به کودکان و نوجوانان (Scratch) ,مدائنی, رایگانـ 
31, آموزش متدولوژی‏های Agile و اسکرام (مفاهیم و پیاده‏سازی عملی) ,یاریان," 450,000 "
32, مینی پروژه با پایتون (برای مبتدیان) ,باقرنژاد سبحانی, رایگانـ 
33," آموزش مقدماتی صفر تا صد ربات های تلگرامی با js,node js ",صائبی, رایگانـ 
34, پروژه لیست کارها با ری‌اکت ,بهرامی, رایگانـ 
35, طراحی سایت مقدماتی ,یاریان, رایگانـ 
36, اتوکد مکانیکال 0 تا 100 (Autocad Mechanical) ,ذبیح اله زاده," 195,000 "
37, آموزش طراحی UI گرافیکی با customtkinter، ttkbotstarp و Tkinter themes ,علوی," 60,000 "
38, آموزش جامع مبانی بهینه‌سازی در هوش مصنوعی - روش‌های کلاسیک و عددی ,تقی پور," 210,000 "
39, کنترل ویندوز با ربات تلگرام و پایتون ,ناظوری," 29,700 "
40, مینی دوره پروژه با customtkinter ,عزیزی, رایگانـ 
41, دوره تخصصی ساخت web app با python و streamlit ,رضا," 240,000 "
42, آموزش مقدماتی تا پیشرفته html ,فاطمی, رایگانـ 
43, کامل‌ترین راهنمای کار با Coroutines در کاتلین - با مثال‌های عملی ,صیقلی," 29,700 "
44, آموزش جامع ابزارهای هوش مصنوعی ,موسوی," 480,000 "
45, آموزش تایپ‌اسکریپت با پروژه توسعه فردی ,شفاعت," 75,000 "
46, آموزش شبکه برای شروع هک و امنیت ,ناظوری," 110,700 "
47, سفر به دنیای ادمینی SQL Server راهی به سوی DBA شدن ,اخلاق پسندی," 600,000 "
48, آموزش ساخت 25 پروژه با ReactJS ,معصومی," 89,700 "
49, آموزش جامع دیزان پترن ها ( Design Patterns ) در پایتون ,اردوخانی," 270,000 "
50, آموزش React با استفاده از Vite ,مهدی نیا," 270,000 "
51, آموزش sso در net. ,رضایی," 240,000 "
52, دوره جامع آموزش T-SQL ,رنجبران," 207,000 "
53, پیاده سازی پروژه با رویکرد DDD ,نورقربانی," 270,000 "
54, آموزش BootStrap (بوت استرپ 4 و 5 ) ,مدائنی," 120,000 "
55, مهارت در پایتون(امنیت اطلاعات) ,شعبانی," 345,000 "
56, پیاده سازی سایت مشابه دیوار با Laravel & React & Next js 14 ,خسروجردی," 986,700 "
57, تست‌ نویسی در پایتون با unittest و pytest ,رضا," 240,000 "
58, دوره استور پروسیجر نویسی در SQL SERVER - مقدماتی ,نریمانی, رایگانـ 
59, آموزش اپلیکیشن های وب پیش رونده ( PWA ) ,مدائنی," 165,000 "
